episodes,DQV,DQV-Max,DQN,DDQN,Upside-Down
33,-20.5819324369,-21,-20.5676218783,-20.3004885365,-21
34,-20.5747272255,-21,-20.6428419588,-20.3281140374,-21
35,-20.5887125996,-21,-20.6941316799,-20.3568757357,-20
36,-20.6182544156,-21,-20.7268185882,-20.3867945098,-21
37,-20.654569647,-21,-20.7493660355,-20.4173920109,-21
38,-20.6881392968,-21,-20.7680795359,-20.4466975085,-20
39,-20.7114558494,-21,-20.7839521474,-20.4716745733,-21
40,-20.7209595957,-21,-20.7936245611,-20.4907457017,-21
41,-20.7177212646,-21,-20.7929618109,-20.5057745194,-21
42,-20.7065350161,-21,-20.7808182168,-20.5223050504,-21
43,-20.693857212,-21,-20.759899893,-20.546630932,-21
44,-20.6851309188,-21,-20.7351817831,-20.5820343745,-20
45,-20.6827571449,-21,-20.7108379327,-20.6262229129,-21
46,-20.6856434121,-21,-20.6878105598,-20.6716642225,-21
47,-20.6908619796,-21,-20.6636792372,-20.7085291409,-20
48,-20.6958671974,-21,-20.6345594686,-20.7287365862,-21
49,-20.6998846723,-21,-20.5983451327,-20.7295776068,-21
50,-20.7027165822,-21,-20.5574223644,-20.7152057155,-19
51,-20.7030618937,-21,-20.5190504926,-20.6948414858,-21
52,-20.6976173992,-21,-20.4924765854,-20.6785232755,-21
53,-20.6823285239,-21,-20.4842372427,-20.6721195397,-19
54,-20.6544521149,-20.9999553887,-20.4942450802,-20.6741781398,-21
